,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Sam Lin,5,1 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
1,Bevis Chen,5,2 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
2,jason jason,5,4 週前,"有點過好吃，老闆加湯沒在意成本的  
牛奶鍋的加湯？ 我就加牛奶，誰在跟你點牛奶鍋加湯只有高湯的選項  
  
人有點少，但這樣剛好，人太多有點煩躁  
用餐環境舒適的有點想每週都來

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
3,Sue薇薇,5,1 個月前,"10.14晚上終於有機會過去吃，菜盤真的是菜盤，想吃火鍋料要自己另外點。兩人套餐會送一小盤海鮮（好幾種可以自己選擇）送上來的蛤蜊還活著一直吐舌很新鮮，柴魚湯頭很好喝肉品也是新鮮嫩口（點了霜降牛和羊肩），最後還有甜品，有店家自製的冰淇淋，選擇了（鹹花生、鐵觀音）極好吃很推薦！會在回訪！

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
4,林廣,4,1 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
5,yu chen,5,1 個月前,"肉多又大片，每次都吃飽飽，非常推薦。

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
6,邱振盛,4,1 個月前,"老闆人很好

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
7,莊宏洋,3,2 個月前,"服務態度不錯 ，只是cp值有點低，吃完蠻空虛的，這個價位有更多好的選擇，我住附近想說來吃看看，只能說cp值不高 老闆要加油

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
8,Wibbly Wei,5,2 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
9,Fly Hsueh,4,3 個月前,"口味好價格公道

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
10,張燕霞,5,3 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
11,Kai L,5,3 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
12,L YN,5,3 個月前,"美味程度：  
  
服務態度：  
  
環境方面：  
  
CP值：  
  
可使用信用卡  
  
海鮮都蠻新鮮的  
  
菜盤份量較多  
  
怕吃不完可以換肉或蛤蜊  
  
蛤蜊都蠻大顆的 好吃  
  
生蠔也很不錯  
  
肉品比較普通  
  
飯後甜點有蠻多選擇  
  
廁所乾淨而且蠻大的  
  
稍微可惜的是只有一間

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
13,Cherry Cheng,5,3 個月前,"是我喜歡的鍋，不會有不喜歡的火鍋料。蛤蜊鍋讓人滿足，點2份主餐還送小份肉。會再來喲

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
14,嵐律D,5,4 個月前,"東西新鮮好吃，老闆很nice，在店裡可以好好享受吃飯時光

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
15,瀞萱（Polly波莉）,5,4 個月前,"環境很棒，很乾淨！  
肉很新鮮~甜點也很有水準  
(可惜沒拍到食物照)  
下次回訪之後再來補充照片

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
16,JiaHua Wu,5,4 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
17,曾映寰,5,4 個月前,"評論沒有送東西  
純粹覺得好吃才來推薦的  
第一次來用餐，與同事一起點用雙人海陸套餐，海鮮盤裡的各種海鮮的鮮味十足，吃得出新鮮  
而且難得遇到菜盤內的食材都處理得很乾淨，青菜部分還提供了四種不同的葉菜類，覺得很特別！  
飯後甜點也是很優 自製的烏龍茶口味冰淇淋茶味濃厚，很好吃 ～  
而且服務也很好，環境也很乾淨，值得常常來光顧

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
18,余甄宸,5,4 個月前,"好好吃～沒什麼火鍋料，好吃又健康

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
19,林予慈,5,4 個月前,"冰好好吃喔味道超濃♥(ˆ⌣ˆԅ)  
加碼給的柚子口味也好好吃  
兩份套餐送的肉份量也超多！！  
好吃服務超好好讚好好

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
20,Irene Chuang,5,5 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
21,A O,5,5 個月前,"6/11晚上第一次去消費 餐廳很乾淨 食物新鮮 男服務人員很認真、親切 滿喜歡這間店

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
22,K,5,5 個月前,"很喜歡的火鍋店，食材用的很好、湯頭清爽又鮮甜，海鮮很新鮮牛肉也很好吃，cp值非常高。

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
23,萬世成,5,5 個月前,"第一次來吃，感覺蠻不錯的，食材也蠻新鮮的，美賣美賣。

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
24,Gina Lee,5,7 個月前,"路過進來沒想到很優質 點兩鍋送的肉很大盤！飯後還會提醒有甜點（豆漿冰淇淋跟鹹花生超濃很讚！）結帳發現沒有服務費 整個發現新天地

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
25,江阿 揚,5,7 個月前,"湯頭鮮好喝 食材新鮮

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
26,Chen Allen,5,7 個月前,"海鮮好吃又新鮮，雞肉很軟，飯後還有甜點，超讚的

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
27,詹詠筑,4,7 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
28,許書輔,5,7 個月前,"食材新鮮又夠份量，屌打連鎖大牌子

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
29,Chloe Chang,5,7 個月前,"原味湯頭真的很甜  
再加上用海鮮去熬煮 更美味鮮甜  
飯後還有甜點～來個完美的結尾  
自製手工烏龍茶烏龍茶冰淇淋

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
30,TIM CHENG,5,7 個月前,"食材新鮮份量夠外，價格平價親民還有飯後甜點～推薦來看看

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
31,Tank Wang,5,8 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
32,薛平成,5,8 個月前,"好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
33,大洪洪,3,9 個月前,"感覺CP值普普，就晚餐吃吃ok.

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
34,Kiki Ma,5,9 個月前,"環境乾淨整潔，肉的品質很好，青菜份量很足，兩份套餐就送肉盤或蛤蜊，物超所值。

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
35,詠詠,5,9 個月前,"辣湯是第一名，所有火鍋店的第一名，每個月都要吃，讚

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
36,47,5,9 個月前,"超！好！吃！

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
37,YiFang Chen,4,9 個月前,"食材ok 用餐環境ok

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
38,Jens Jap,5,9 個月前,"(由 Google 提供翻譯) 傳授我在台北最喜歡的火鍋店。羊肉（來自新西蘭）非常柔軟和美味。海鮮（我們總是吃蛤蜊）總是新鮮的。  
  
他們一直在進行一項促銷活動，當兩人用餐時，您將獲得 1
個免費的肉盤……鑑於肉的質量和蔬菜的新鮮度，這個提議感覺太好了，但我每次都接受。餓著肚子來吧，因為這個地方會讓你吃飽。  
  
經營這家商店的紳士非常有禮貌，工作非常努力......裝飾現代但也很有趣。如果你環顧四周，你會發現一些衝鋒隊、龍珠 Z
中的角色以及滅霸的手套。餐廳一塵不染，我個人非常欣賞。  
  
那裡還有適合所有噴氣式飛機的英文菜單。  
  
總的來說，我強烈建議您嘗試一下這個地方......並為自己製作的美味冰淇淋做好心理準備。  
  
(原始評論)  
Hands down my all time favorite hot pot establishment in Taipei. The lamb
(sourced from New Zealand) is incredibly tender and flavorful. The seafood (we
always get the clams) is always fresh.  
  
They have been running a promotion where you get 1 free meat plate when dining
for two...given the quality of the meat and the freshness of the vegetables,
it feels too good of an offer, but I take it everytime. Come hungry because
this place will fill you up.  
  
The gentleman running the store is very polite and incredibly hard
working...the decor is modern but also playful. You will find a few storm
troopers, characters from Dragonball Z and also Thanos' glove if you look
around. The restaurant is spotlessly clean, something that I personally
appreciate a lot.  
  
There is also an English menu for all you jetsetters out there.  
  
Overall, I highly recommend you give this place a try...and mentally prepare
yourself for some delicious ice cream made IN-HOUSE.

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
39,黑兔萌萌,5,10 個月前,"湯頭很好 壽星優惠划算  
吃了好多肉

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
40,Tiffany Lee,5,10 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
41,Kei Lee,5,10 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
42,Bella Syu,5,10 個月前,"很好吃，肉也不錯，湯頭也不錯！冰淇淋是自製的

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
43,潘又笨,5,10 個月前,"餐點簡單輕鬆健康，吃起來沒有負擔~  
  
2021年的最後一天，謝謝老闆美味的晚餐~

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
44,詹育旻,5,10 個月前,"

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
45,李元豐,5,11 個月前,"食材新鮮

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
46,Christy Liu,3,11 個月前,"普通，看評價來吃一次就夠了  
點了單人海陸，牛豬的肉質都不優  
海鮮是OK的  
加分的甜品：鹹花生冰淇淋很特別，是復古味

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
47,Paul Lee,5,11 個月前,"環境清潔舒適，食材新鮮美味。

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%83%E6%B5%B7%E9%8D%8B%E7%89%A9+since+2017.11/data=!4m7!3m6!1s0x3442a95db18f5ad3:0xfeb317c237c549de!8m2!3d25.0581391!4d121.5292811!16s%2Fg%2F11f1pl7dk1!19sChIJ01qPsV2pQjQR3knFN8IXs_4?authuser=0&hl=zh-TW&rclk=1,0x3442a95db18f5ad3:0xfeb317c237c549de
